729C011	T	Start Streaming
159D034	S	C01,P02,PRF,ET 0.00 sec,T 10.00 sec,P 0.000000 bar
749E033	S	C01,P02,PRF,ET 0.05 sec,T 9.95 sec,P 0.000000 bar
AF9F033	S	C01,P02,PRF,ET 0.10 sec,T 9.90 sec,P 0.222204 bar
C4A0033	S	C01,P02,PRF,ET 0.15 sec,T 9.85 sec,P 1.503697 bar
CCA1033	S	C01,P02,PRF,ET 0.20 sec,T 9.80 sec,P 1.707844 bar
A2A2033	S	C01,P02,PRF,ET 0.25 sec,T 9.75 sec,P 1.863010 bar
34A3033	S	C01,P02,PRF,ET 0.30 sec,T 9.70 sec,P 2.036498 bar
9EA4033	S	C01,P02,PRF,ET 0.35 sec,T 9.65 sec,P 2.232009 bar
D5A5033	S	C01,P02,PRF,ET 0.40 sec,T 9.60 sec,P 2.420889 bar
54A6033	S	C01,P02,PRF,ET 0.45 sec,T 9.55 sec,P 2.572306 bar
59A7033	S	C01,P02,PRF,ET 0.50 sec,T 9.50 sec,P 2.721544 bar
23A8033	S	C01,P02,PRF,ET 0.55 sec,T 9.45 sec,P 2.827780 bar
74A9033	S	C01,P02,PRF,ET 0.60 sec,T 9.40 sec,P 2.925903 bar
D5AA033	S	C01,P02,PRF,ET 0.65 sec,T 9.35 sec,P 2.984967 bar
CEAB033	S	C01,P02,PRF,ET 0.70 sec,T 9.30 sec,P 3.001574 bar
33AC033	S	C01,P02,PRF,ET 0.75 sec,T 9.25 sec,P 3.006042 bar
93AD033	S	C01,P02,PRF,ET 0.80 sec,T 9.20 sec,P 3.010556 bar
03AE033	S	C01,P02,PRF,ET 0.85 sec,T 9.15 sec,P 3.016962 bar
57AF033	S	C01,P02,PRF,ET 0.90 sec,T 9.10 sec,P 3.024791 bar
C6B0033	S	C01,P02,PRF,ET 0.95 sec,T 9.05 sec,P 3.025710 bar
DFB1033	S	C01,P02,PRF,ET 1.00 sec,T 9.00 sec,P 3.025346 bar
5EB2033	S	C01,P02,PRF,ET 1.05 sec,T 8.95 sec,P 3.023314 bar
6EB3033	S	C01,P02,PRF,ET 1.10 sec,T 8.90 sec,P 3.021602 bar
D1B4033	S	C01,P02,PRF,ET 1.15 sec,T 8.85 sec,P 3.020545 bar
16B5033	S	C01,P02,PRF,ET 1.20 sec,T 8.80 sec,P 3.020196 bar
F9B6033	S	C01,P02,PRF,ET 1.25 sec,T 8.75 sec,P 3.019197 bar
27B7033	S	C01,P02,PRF,ET 1.30 sec,T 8.70 sec,P 3.018697 bar
B2B8033	S	C01,P02,PRF,ET 1.35 sec,T 8.65 sec,P 3.018119 bar
3FB9033	S	C01,P02,PRF,ET 1.40 sec,T 8.60 sec,P 3.017569 bar
3FBA033	S	C01,P02,PRF,ET 1.45 sec,T 8.55 sec,P 3.017041 bar
