Timestamp,Pressure,Phase,Part_ID,Leak_Rate,Target_Pressure,Fill_Rate,Stab_Duration,Test_Duration,Leak_Type
0.0,0.0,prefill,Part1,0.05,5,0.5,5,30,sealed
0.1,0.021315789473684208,prefill,Part1,0.05,5,0.5,5,30,sealed
0.2,0.042631578947368416,prefill,Part1,0.05,5,0.5,5,30,sealed
0.3,0.06394736842105263,prefill,Part1,0.05,5,0.5,5,30,sealed
0.4,0.08526315789473683,prefill,Part1,0.05,5,0.5,5,30,sealed
0.5,0.10657894736842105,prefill,Part1,0.05,5,0.5,5,30,sealed
0.6,0.12789473684210526,prefill,Part1,0.05,5,0.5,5,30,sealed
0.7,0.14921052631578946,prefill,Part1,0.05,5,0.5,5,30,sealed
0.8,0.17052631578947366,prefill,Part1,0.05,5,0.5,5,30,sealed
0.9,0.19184210526315787,prefill,Part1,0.05,5,0.5,5,30,sealed
1.0,0.2131578947368421,prefill,Part1,0.05,5,0.5,5,30,sealed
1.1,0.23447368421052633,prefill,Part1,0.05,5,0.5,5,30,sealed
1.2,0.2557894736842105,prefill,Part1,0.05,5,0.5,5,30,sealed
1.3,0.2771052631578947,prefill,Part1,0.05,5,0.5,5,30,sealed
1.4,0.2984210526315789,prefill,Part1,0.05,5,0.5,5,30,sealed
1.5,0.31973684210526315,prefill,Part1,0.05,5,0.5,5,30,sealed
1.6,0.34105263157894733,prefill,Part1,0.05,5,0.5,5,30,sealed
1.7,0.3623684210526315,prefill,Part1,0.05,5,0.5,5,30,sealed
1.8,0.38368421052631574,prefill,Part1,0.05,5,0.5,5,30,sealed
1.9,0.405,prefill,Part1,0.05,5,0.5,5,30,sealed
2.0,0.5,fill,Part1,0.05,5,0.5,5,30,sealed
2.1,0.5404545454545454,fill,Part1,0.05,5,0.5,5,30,sealed
2.2,0.5809090909090909,fill,Part1,0.05,5,0.5,5,30,sealed
2.3,0.6213636363636363,fill,Part1,0.05,5,0.5,5,30,sealed
2.4,0.6618181818181819,fill,Part1,0.05,5,0.5,5,30,sealed
2.5,0.7022727272727273,fill,Part1,0.05,5,0.5,5,30,sealed
2.6,0.7427272727272727,fill,Part1,0.05,5,0.5,5,30,sealed
2.7,0.7831818181818181,fill,Part1,0.05,5,0.5,5,30,sealed
2.8,0.8236363636363636,fill,Part1,0.05,5,0.5,5,30,sealed
2.9,0.8640909090909091,fill,Part1,0.05,5,0.5,5,30,sealed
3.0,0.9045454545454545,fill,Part1,0.05,5,0.5,5,30,sealed
3.1,0.945,fill,Part1,0.05,5,0.5,5,30,sealed
3.2,0.9854545454545454,fill,Part1,0.05,5,0.5,5,30,sealed
3.3,1.0259090909090909,fill,Part1,0.05,5,0.5,5,30,sealed
3.4,1.0663636363636362,fill,Part1,0.05,5,0.5,5,30,sealed
3.5,1.106818181818182,fill,Part1,0.05,5,0.5,5,30,sealed
3.6,1.1472727272727272,fill,Part1,0.05,5,0.5,5,30,sealed
3.7,1.1877272727272727,fill,Part1,0.05,5,0.5,5,30,sealed
3.8,1.2281818181818183,fill,Part1,0.05,5,0.5,5,30,sealed
3.9,1.2686363636363638,fill,Part1,0.05,5,0.5,5,30,sealed
4.0,1.309090909090909,fill,Part1,0.05,5,0.5,5,30,sealed
4.1,1.3495454545454546,fill,Part1,0.05,5,0.5,5,30,sealed
4.2,1.39,fill,Part1,0.05,5,0.5,5,30,sealed
4.3,1.4304545454545454,fill,Part1,0.05,5,0.5,5,30,sealed
4.4,1.4709090909090907,fill,Part1,0.05,5,0.5,5,30,sealed
4.5,1.5113636363636365,fill,Part1,0.05,5,0.5,5,30,sealed
4.6,1.5518181818181818,fill,Part1,0.05,5,0.5,5,30,sealed
4.7,1.5922727272727273,fill,Part1,0.05,5,0.5,5,30,sealed
4.8,1.6327272727272728,fill,Part1,0.05,5,0.5,5,30,sealed
